012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS17006-2328	 IRAS 17006-2328, 
IRAS17021-1207	 V* UX Oph, AN 6.1920, BD-11 4288, HIC 83582, HIP 83582, IRAS 17021-1207, 2MASS J17045698-1212054, PPM 232579, AAVSO 1659-12, 
IRAS17034-1024	IRAS 17034-1024, V850 Oph, 
IRAS17048-1601	 V* R Oph, BD-15 4455, GC 23105, GCRV 9882, GEN# +1.00154721, GSC 06232-01335, HD 154721, IRAS 17048-1601, IRC -20347, 2MASS J17074578-1605339, PPM 232639, RAFGL 1923, SAO 160299, SKY# 30875, TYC 6232-1335-1, YZ 106 6119, AAVSO 1702-15, 
IRAS17050+1714	 V* VY Her, IRAS 17050+1714, 2MASS J17071761+1710228, PCC93 183, AAVSO 1702+17, 
IRAS17072+1844	 V* BG Her, AN 392.1929, CSI+18-17073, GCRV 9898, IRAS 17072+1844, IRC +20314, AAVSO 1705+18, 
IRAS17086+2739	IRAS 17086+2739, CX Her, IRC +30302, 
IRAS17087+2707	 V* RT Her, BD+27 2772, GCRV 9911, HD 155481, IRAS 17087+2707, AAVSO 1706+27A, 
IRAS17115-3322	 IRAS 17115-3322, RW_Sco, 
IRAS17119+0859	 V* V2108 Oph, EIC 546, IRAS 17119+0859, IRC +10322, RAFGL 1940, ROTSE1 J171419.31+085607.4, LFO93 1711+08, PCC93 184, TVH89 86, AAVSO 1709+09, 
IRAS17119+0859	IRAS 17119+0859, V2108 Oph, 
IRAS17123+1107	 V* V438 Oph, AG+11 1881, AN 17.1930, BD+11 3139, GCRV 9943, GSC 00982-01564, HIC 84346, HIP 84346, IRAS 17123+1107, IRC +10323, 2MASS J17143978+1104100, PPM 133161, RAFGL 1944, SAO 102678, TYC 982-1564-1, YZ 11 6026, PCC93 185, AAVSO 1710+11, 
IRAS17150-1156	RV Ser, 
IRAS17162-1934	IRAS 17162-1934, V1848 Oph, 
IRAS17170+0133	 V* Z Oph, BD+01 3417, DO 4267, GCRV 9999, GSC 00400-00791, HD 156801, HIC 84763, HIP 84763, IRAS 17170+0133, 2MASS J17193212+0130540, SV* HV 34, TYC 400-791-1, AAVSO 1714+01, 
IRAS17173-2334	 IRAS 17173-2334, 
IRAS17175-3544	IRAS 17175-3544, NGC 6334F, 
IRAS17179-2452	 IRAS 17179-2452, 
IRAS17190+2658	IRAS 17190+2658,V393 Her, 
IRAS17196+2258	 V* RS Her, AG+22 1678, BD+23 3090, DO 15942, GC 23477, GCRV 10031, GEN# +1.00157330, GSC 02074-01904, HD 157330, HIC 84948, HIP 84948, IRAS 17196+2258, IRC +20322, 2MASS J17214236+2255159, PPM 105821, SAO 85031, SKY# 31321, TYC 2074-1904-1, YZ 22 5939, AAVSO 1717+23, 
IRAS17209+6630	IRAS 17209+6630, GN Dra, 
IRAS17229-0301	 V* AH Oph, AN 44.1924, IRAS 17229-0301, IRC +00303, RAFGL 1965, PCC93 187, 
IRAS17230+0113	 IRAS 17230+0113, RAFGL 6826S, RAFGL 6826, PCC93 188, 
IRAS17230+4610	 V* WW Her, AN 16.1918, IRAS 17230+4610, ROTSE1 J172429.80+460801.7, SV* SVS 6, AAVSO 1721+46, 
IRAS17242+0330	 V* VV Oph, AN 13.1919, IRAS 17242+0330, AAVSO 1721+03, 
IRAS17249+0416	 V* VW Oph, AN 14.1919, CSI+04-17249, GCRV 67092, HIC 85429, HIP 85429, IRAS 17249+0416, 2MASS J17272593+0413389, AAVSO 1722+04, 
IRAS17256+0504	 V* V2296 Oph, EIC 561, GSC 00409-01300, IRAS 1725+050P08, IRAS 17256+0504, IRC +10329, 2MASS J17280830+0502185, StM 373, UCAC2 33597527, PCC93 189, TVH89 103, 
IRAS17258-1953	 IRAS 17258-1953, 
IRAS17259-2326	 IRAS 17259-2326, 
IRAS17260-2206	 IRAS 17260-2206, 
IRAS17267-2122	 V* V2275 Oph, IRAS 17267-2122, 
IRAS17281+1757	 V* UZ Her, AN 18.1914, IRAS 17281+1757, 2MASS J17302294+1754505, UCAC2 38094178, AAVSO 1726+18, 
IRAS17287-1955	 V* V2278 Oph, IRAS 17287-1955, 
IRAS17292-2408	 IRAS 17292-2408, 
IRAS17304+0927	 V* RU Oph, AN 18.1904, BD+09 3414, GCRV 10138, IRAS 17304+0927, AAVSO 1728+09A, 
IRAS17304-1933	 V* V2281 Oph, IRAS 17304-1933, 
IRAS17305+2614	 V* LU Her, CSI+26-17306, GCRV 67164, GSC 02079-00303, IRAS 17305+2614, 2MASS J17323556+2612254, ROTSE1 J173235.69+261225.9, SV* P 1262, SV* R 379, AAVSO 1728+26, 
IRAS17309-1724	IRAS 17309-1724, 
IRAS17312+2337	 V* GP Her, AN 168.1936, GSC 02075-00650, IRAS 17312+2337, 2MASS J17332192+2335154, AAVSO 1729+23, 
IRAS17314+1452	IRAS 17314+1452, HR 6543, 
IRAS17314+1452	IRAS 17314+1452, HR 6543, V642 Her, 
IRAS17314-2429	 IRAS 17314-2429, 
IRAS17323-2424	 MSX6C G002.6111+04.3084, GLMP 585, IRAS 17323-2424, 
IRAS17324-1918	 IRAS 17324-1918, 2MASS J17352378-1920470, 
IRAS17328-2315	 IRAS 17328-2315, 
IRAS17329+5359	 V* SY Dra, AN 141.1908, CSI+53-17328, HD 159854, IRAS 17329+5359, IRC +50267, RAFGL 1987, ROTSE1 J173357.54+535733.2, SV* HV 3174, AAVSO 1732+54, 
IRAS17338+0051	 IRAS 17338+0051, 2MASS J17362679+0049339, 
IRAS17338-2140	 IRAS 17338-2140, 
IRAS17343+1052	IRAS 17343+1052, V790 Oph, 
IRAS17347-2319	 IRAS 17347-2319, 
IRAS17347-3139	 IRAS 17347-3139, 2MASS J17380060-3140552,
IRAS17350-2413	 MSX6C G003.1080+03.8899, GLMP 594, IRAS 17350-2413, 
IRAS17351-3130	 IRAS 17351-3130, PN G005.9-02.6,
IRAS17351-3130	IRAS 17351-3130, 
IRAS17360-3012	 V* V1019 Sco, GH2O 358.16+00.49, IRAS 17360-3012, 2MASS J17391493-3014243, MSX5C G358.1617+00.4902, OH 358.2 +0.5, OH 358.16 +0.50, OH 358.16 +0.49, RAFGL 1992, 
IRAS17367-2722	 HD 316051, CD-27 11788, CPD-27 5690, GLMP 603, GSC 06835-00123, IRAS 17367-2722, 2MASS J17395218-2723441, MSX6C G000.6467+01.8893, PDS 152, PPM 733403, SCHB 104, TYC 6835-123-1, 
IRAS17374+1635	IRAS 17374+1635, V961_Her, 
IRAS17385-2211	 ESO 588-17, GSC2 S223102193476, IRAS 17385-2211, 2MASS J17413661-2213030, MSX5C G005.2576+04.2862, PK 005+04 2, PN VV' 230, PN M 3-13, PN G005.2+04.2, SS73 97, 
IRAS17385-2413	 IRAS 17385-2413, 
IRAS17392-3020	 OH 358.43 -0.18, GLMP 619, IRAS 17392-3020, MSX6C G358.4249-00.1744, 
IRAS17407-1958	 IRAS 17407-1958, 
IRAS17408+1732	 V* AL Her, IRAS 17408+1732, SV* HV 3684, 
IRAS17411-2029	 IRAS 17411-2029, 
IRAS17417-1630	 IRAS 17417-1630, GLMP 626, 
IRAS17427+2130	 V* CF Her, AN 19.1930, DO 16211, IRAS 17427+2130, IRC +20331, RAFGL 5137S, AAVSO 1740+21, 
IRAS17429-2059	 IRAS 17429-2059, 
IRAS17431-2446	 IRAS 17431-2446, 
IRAS17441-2000	 IRAS 17441-2000, 
IRAS17448-2304	 IRAS 17448-2304, 
IRAS17454-1858	 IRAS 17454-1858, 
IRAS17454-2258	 SCHB 189, IRAS 17454-2258, 
IRAS17458+2642	 V* BK Her, AN 20.1930, CSI+26-17459, GCRV 67412, IRAS 17458+2642, ROTSE1 J174753.92+264121.3, 
IRAS17469+2233	 V* SU Her, AN 31.1903, CSI+22-17469, GCRV 67425, HD 162198, IRAS 17469+2233, IRC +20333, RAFGL 5145S, AAVSO 1744+22, 
IRAS17470-2300	 IRAS 17470-2300, 
IRAS17474-0641	 V* RS Oph, AN 20.1901, BD-06 4661, EM* MWC 414, GCRV 10316, HD 162214, IRAS 17474-0641, JP11 2898, 2MASS J17501316-0642284, NOVA Oph 1933, NOVA Oph 1967, NOVA Oph 1958, NOVA Oph 1898, PPM 201101, SS73 106, SV* HV 164, AAVSO 1744-06, 
IRAS17474-2704	 IRAS 17474-2704, GAL 002.14+00.01, 
IRAS17476-2036	 IRAS 17476-2036, 
IRAS17482-2824	 TVH89 220, GAL 001.095-00.832, GH2O 001.10-00.83, IRAS 17482-2824, 2MASS J17512677-2825371, MSX6C G001.0950-00.8316, OH 1.1 -0.8, RAFGL 5146S, RAFGL 5146, SCHB 211, 
IRAS17487-1652	 2MASS J17513798-1653023, IRAS 17487-1652, 
IRAS17499-1840	 IRAS 17499-1840, 
IRAS17501-2656	 V* V4201 Sgr, IRAS 17501-2656, OH 2.58 -0.43, OH 2.60 -0.4, RAFGL 2019, SCHB 224, 
IRAS17516-2532	 IRAS 17516-2532, 
IRAS17518-2054	 IRAS 17518-2054, 
IRAS17521-2201	 IRAS 17521-2201, 
IRAS17527-2439	 IRAS 17527-2439, 
IRAS17528+1144	 IRAS 17528+1144, PCC93 204, 
IRAS17531-0940	 IRAS 17531-0940, 
IRAS17539+0322	 V* SV Oph, AN 54.1907, GSC 00421-00854, IRAS 17539+0322, SV* HV 2908, AAVSO 1751+03, 
IRAS17540-1919	IRAS 17540-1919, VV Sgr, 
IRAS17541+1110	 V* RT Oph, AN 76.1901, CSI+11-17542, GCRV 10379, IRAS 17541+1110, IRC +10342, 2MASS J17563203+1110093, RAFGL 2037, UCAC2 35781560, PCC93 206, AAVSO 1751+11, 
IRAS17544+4252	 V* AQ Her, AN 23.1926, CSI+42-17545, FBS 1754+428, FBS L 2-10, GCRV 67548, GSC 03097-00975, IRAS 17544+4252, 2MASS J17560041+4252233, ROTSE1 J175600.48+425222.3, SV* SVS 788, AAVSO 1753+42, 
IRAS17556+5813	 V* T Dra, ** ES 20, ADS 10937 A, BD+58 1772a, C* 2512, CCDM J17564+5813A, CGCS 3921, CSI+58 1772 3, GCRV 10400, GEN# +0.05801772S, GSC 03914-00546, HIC 87820, HIP 87820, IDS 17551+5814 A, IRAS 17556+5813, IRC +60255, LEE 306, 2MASS J17562334+5813067, RAFGL 2040, SKY# 32515, UBV M 22509, LFO93 1755+58, AAVSO 1754+58A, 
IRAS17563+2326	 V* FU Her, AN 83.1935, AN 622.1936, CSI+23-17563, GCRV 67580, IRAS 17563+2326, ROTSE1 J175824.59+232639.0, SV* P 4495, AAVSO 1754+23A, 
IRAS17565-2035	 IRAS 17565-2035, 
IRAS17572+5452	 V* V Dra, BD+54 1927a, GCRV 10429, IRAS 17572+5452, AAVSO 1756+54, 
IRAS17575+1929	 V* RY Her, AG+19 1680, BD+19 3489a, DO 16364, GCRV 10433, GSC 01561-01615, HD 164307, IRAS 17575+1929, 2MASS J17594557+1926523, PPM 134095, SAO 103281, TYC 1561-1615-1, YZ 19 6537, 
IRAS17579+2335	 V* WY Her, AN 1.1919, CSI+23-17580, GCRV 67612, IRAS 17579+2335, IRC +20341, 2MASS J18000391+2335371, 2MASSI J1800039+233537, RAFGL 5169S, ROTSE1 J180004.07+233538.3, PCC93 208, AAVSO 1755+23, 
IRAS17580+0537	IRAS 17580+0537, V569, 
IRAS17593+1843	 IRAS 17593+1843, 2MASS J18013155+1843189, 
IRAS17593-2854	 MSX6C G001.9080-03.1776, IRAS 17593-2854, 2MASS J18023339-2853559, OGLEII DIA BUL-SC31 856, 
IRAS17594+0826	 NSV 10015, AN 360.1933, CSV 3672, DO 4539, IRAS 17594+0826, IRC +10346, RAFGL 5179S, PCC93 210, 
IRAS17599-0006	IRAS 17599-0006, AX Ser, 
IRAS18006-1734	 MSX6C G011.8974+02.1862, GLMP 704, IRAS 18006-1734, 
IRAS18009-2019	 V* V4120 Sgr, IRAS 18009-2019, IRC -20424, 2MASS J18035653-2019004, NSV 10099, RAFGL 2054, PCC93 212, TVH89 241, 
IRAS18014-2756	 IRAS 18014-2756, 
IRAS18014-2955	 V* V1528 Sgr, IRAS 18014-2955, MACHO 119.20613.5347, TLE NGC 6522 120, G55 237, 
IRAS18015-1608	 IRAS 18015-1608, GLMP 709, MSX6C G013.2508+02.7102, 
IRAS18017-3008	 IRAS 18017-3008, 
IRAS18020-3011	 IRAS 18020-3011, 
IRAS18025-1612	 IRAS 18025-1612, 
IRAS18033-1551	 IRAS 18033-1551, 
IRAS18034-2441	 2MASS J18062952-2440477, IRAS 18034-2441, MSX5C G006.0217-01.8802, 
IRAS18039-0813	 NSV 10210, EIC 615, IRAS 18039-0813, IRC -10395, RAFGL 2065, LMW2001 426, PCC93 217, 
IRAS18043-2116	 IRAS 18043-2116, OH 9.1 -0.4, 
IRAS18044+2015	 V* DF Her, AN 389.1931, CSI+20-18044 2, GCRV 67768, IRAS 18044+2015, IRC +20349, AAVSO 1802+20B, 
IRAS18044-1947	 IRAS 18044-1947, 
IRAS18050-2213	 V* VX Sgr, AN 271.1904, BD-22 4575, CD-22 12589, GEN# +1.00165674, HD 165674, HIC 88838, HIP 88838, IRAS 18050-2213, IRC -20431, JP11 2930, 2MASS J18080404-2213266, OH 8.3 -1.0, RAFGL 2071, SCHB 299, SV* HV 1152, UBV M 22627, LFO93 1805-22, PCC93 218, TVH89 250, WCP90 180502.959-221355.58, AAVSO 1802-22, 
IRAS18052-2016	IRAS 18052-2016, 
IRAS18055+6556	 V* W Dra, AN 6.1902, BD+65 1241a, CSI+65 1241 2, GCRV 10574, HD 166407, IRAS 18055+6556, HH87 2-31, HH87 116, HH87 1-40, AAVSO 1805+65, 
IRAS18055-2649	 IRAS 18055-2649, 
IRAS18061-2505	 IRAS 18061-2505,
IRAS18068+6608	 V* X Dra, AG+66 818, AN 7.1902, BD+66 1078a, GCRV 27385, IRAS 18068+6608, 2MASS J18065223+6609196, PPM 20747, K95 B, AAVSO 1806+66, 
IRAS18069+0911	 V* V2302 Oph, IRAS 1806+091P08, IRAS 18069+0911, 2MASS J18091854+0912156, PCC93 223, 
IRAS18072+3100	 V* T Her, AG+31 1600, BD+30 3137, CCDM J18091+3102A, DO 16518, GC 24757, GCRV 10606, GEN# +1.00166382, GSC 02622-01634, HD 166382, HIC 88923, HIP 88923, IDS 18054+3100 A, IRAS 18072+3100, 2MASS J18090622+3101162, PPM 80985, SAO 66680, SKY# 33003, TYC 2622-1634-1, AAVSO 1805+31, 
IRAS18076+3445	 ROTSE1 J180924.24+344558.3, IRAS 18076+3445, IRAS 1807+347P08, 2MASS J18092467+3446192, LMW2001 626, PCC93 225, 
IRAS18076-1034	 NSV 10306, CSS2 25, IRAS 18076-1034, IRC -10401, 2MASS J18102481-1034160, RAFGL 2083, 
IRAS18081-0338	 IRAS 18081-0338, GLMP 727, 
IRAS18096-1003	 IRAS 18096-1003, 
IRAS18103-1738	 2MASS J18132026-1737169, IRAS 18103-1738, OH 12.97 +0.13, 
IRAS18115+3454	IRAS 18115+3454, QS Her, 
IRAS18117-2022	 IRAS 18117-2022, 
IRAS18123-2044	 IRAS 18123-2044, 
IRAS18127+3148	 V* TV Her, AN 36.1910, CSI+31-18128, GCRV 10709, IRAS 18127+3148, SV* HV 3280, AAVSO 1810+31, 
IRAS18131+3639	 V* W Lyr, AG+36 1607, BD+36 3066, GCRV 10719, GEN# +1.00167740, HD 167740, HIC 89419, HIP 89419, IRAS 18131+3639, 2MASS J18145587+3640132, PPM 81122, SAO 66794, AAVSO 1811+36, 
IRAS18135-1456	IRAS 18135-1456, OH 15.70 +0.77, 
IRAS18138-1745	 IRAS 18138-1745, MSX5C G013.2546-00.6435, 
IRAS18139-1816	 IRAS 18139-1816, 
IRAS18141+0340	 V* RY Oph, AG+03 2241, AN 77.1905, BD+03 3656, EIC 637, GCRV 10736, HD 167766, HIC 89568, HIP 89568, IRAS 18141+0340, IRC +00344, 2MASS J18163694+0341352, PPM 165521, RAFGL 6964S, SAO 123316, YZ 3 6171, KW97 34-31, AAVSO 1811+03, 
IRAS18143-2128	 IRAS 18143-2128, 2MASS J18172027-2127217, MSX5C G010.0497-02.5218, 
IRAS18144-1723	 IRAS 18144-1723, Mol 45, 
IRAS18148-0440	 NAME LDN 483 FIR, IRAS 18148-0440, BEA2001 L483 2, 
IRAS18150+4626	 V* HI Lyr, AN 365.1933, CSI+46-18150, GCRV 68397, IRAS 18150+4626, 2MASS J18162501+4627518, ROTSE1 J181625.83+462753.7, SV* P 1587, AAVSO 1813+46, 
IRAS18153-1651	 IRAS 18153-1651, GAL 014.22-00.53, GRS 014.23 -00.51, 
IRAS18154-2257	 IRAS 18154-2257, 
IRAS18156+0655	 V* BC Oph, AN 7.1926, CSI+06-18157, EIC 638, GCRV 68014, IRAS 18156+0655, IRC +10354, RAFGL 6972S, AAVSO 1813+06, 
IRAS18157+1757	IRAS 18157+1757, IQ Her, IRC +20356, 
IRAS18159-1648	 WHR97 18159-1648, GAL 014.33-00.64, IRAS 18159-1648, 
IRAS18164+3140	 V* AO Lyr, IRAS 18164+3140, SV* R 298, AAVSO 1814+31, 
IRAS18164-1631	 IRAS 18164-1631, 
IRAS18166+0614	 IRAS 18166+0614, 
IRAS18167-1634	 IRAS 18167-1634, MSX5C G014.6335-00.6877, 
IRAS18170+0353	 IRAS 18170+0353, 2MASS J18193355+0354498, 
IRAS18173-1642	 IRAS 18173-1642, MSX5C G014.5847-00.8782, 
IRAS18174-1612	 WHR97 18174-1612, IRAS 18174-1612, WBH98 18174-1612, 
IRAS18176-1848	 IRAS 18176-1848, RAFGL 5471, 
IRAS18184-0850	 IRAS 18184-0850, 
IRAS18186+3143	IRAS 18186+3143, TU Lyr, 
IRAS18186+5930	 V* RU Dra, AG+59 1165, AN 75.1905, CSI+59-18316, CSI+59-18187, GCRV 68110, IRAS 18186+5930, AAVSO 1818+59, 
IRAS18187-1605	 IRAS 18187-1605, RAFGL 5476, 
IRAS18192-1603	 IRAS 18192-1603, 
IRAS18196+5030	 V* EO Dra, GSC2 N011033052, GSC 03533-01916, IRAS 18196+5030, IRC +50278, 2MASS J18205487+5031432, NSV 10701, StM 430, 
IRAS18197+3026	 V* TV Lyr, AN 1.1912, CSI+30-18197, GCRV 68109, IRAS 18197+3026, ROTSE1 J182138.81+302750.0, AAVSO 1817+30, 
IRAS18203+0723	 IRAS 18203+0723, 2MASS J18224396+0724550, 
IRAS18204+7239	 V* RT Dra, AN 74.1905, GAT 101, GAT 776, IRAS 18204+7239, 2MASS J18192576+7240495, AAVSO 1821+72, 
IRAS18204-1344	 BE83 Maser 017.55-00.13, IRAS 18204-1344, IRC -10414, OH 17.55 -0.13, RAFGL 2139, LBR81 B182027.88-134422.5, PCC93 260, TVH89 294, 
IRAS18206+2842	 V* AZ Her, IRAS 18206+2842, ROTSE1 J182233.25+284429.5, SV* R 299, AAVSO 1818+28, 
IRAS18208-2123	 IRAS 18208-2123, 
IRAS18210-1825	 IRAS 18210-1825, MSX5C G013.4971-02.4697, 
IRAS18211-1712	 IRAS 18211-1712, GLMP 768, MSX6C G014.5704-01.9215, 
IRAS18212-0335	 IRAS 18212-0335, 
IRAS18213+0335	IRAS 18213+0335, V2090 Oph, 
IRAS18216+0634	 IRAS 18216+0634, 
IRAS18216-1552	 IRAS 18216-1552, MSX5C G015.7940-01.3803, 
IRAS18219-0725	 IRAS 18219-0725, 
IRAS18220+1823	 V* DG Her, AN 390.1931, CSI+18-18221, GCRV 68149, HD 348639, IRAS 18220+1823, 2MASS J18241596+1824466, AAVSO 1819+18, 
IRAS18223+1217	 IRAS 18223+1217, 2MASS J18243665+1219170, 
IRAS18228-1629	 IRAS 18228-1629, 
IRAS18229-1122	 MHS2002 236, IRAS 18229-1122, 2MASS J18254244-1120365, MSX5C G019.9190+00.4623, 
IRAS18231+0855	 IRAS 18231+0855, 2MASS J18253335+0856472, PCC93 261, 
IRAS18231-1106	 IRAS 18231-1106, 
IRAS18231-1112	 IRAS 18231-1112, MSX5C G020.0897+00.4860, 
IRAS18233-1100	 IRAS 18233-1100, 
IRAS18235-1518	 IRAS 18235-1518, 
IRAS18236-1011	 IRAS 18236-1011, 
IRAS18236-1205	 WHR97 18236-1205, GAL 019.36-00.02, IRAS 18236-1205, WBH98 18236-1205, 
IRAS18238-1135	 MHS2002 417, IRAS 18238-1135, 2MASS J18263632-1133485, MSX5C G019.8275+00.1658, 
IRAS18241-1010	 IRAS 18241-1010, MSX6C G021.1164+00.7775, 
IRAS18241-1040	 IRAS 18241-1040, 
IRAS18242-0823	 IRAS 18242-0823, MSX5C G022.7076+01.5775, 
IRAS18243+2459	 V* SV Her, AG+24 1879, AN 162.1904, CSI+25-18243, CSI+24-18243, GCRV 10919, IRAS 18243+2459, PPM 107251, ROTSE1 J182623.02+250133.4, SV* HV 1037, AAVSO 1822+24, 
IRAS18244-1155	 WHR97 18244-1155, IRAS 18244-1155, WBH98 18244-1155, 
IRAS18246-1125	 MHS2002 418, IRAS 18246-1125, 2MASS J18272408-1123470, MSX5C G020.0664+00.0708, 
IRAS18248-1158	 WHR97 18248-1158, GAL 019.6-00.2, GAL 019.61-00.23, IRAS 18248-1158, PMN J1827-1156, ABG85 37, ABG85 36, BE83 IR 019.61-00.23, HC96 G19.61-0.23, KC97c G019.6-00.2, L89b 19.608-00.235, WAM82 019.61-0.24, WBH98 18248-1158, WC89 019.61-0.23, 
IRAS18250-0749	 IRAS 18250-0749, 
IRAS18251-1048	 OH 20.7 +0.2, IRAS 18251-1048, MSX5C G020.6720+00.2398, 
IRAS18253-1130	 GAL 020.08-00.14, GAL 020.1-00.1, IRAS 18253-1130, RAFGL 5491, HC96 G20.08-0.14, WBH98 18253-1130, WC89 020.08-0.14, WHR97 18253-1130, 
IRAS18254-1118	 V* V434 Sct, IRAS 18254-1118, MSX5C G020.2740-00.0504, OH 20.2 -0.1, OH 20.3 -0.1, 
IRAS18254-1118	IRAS 18254-1118, V434 Sct, 
IRAS18256-1103	 IRAS 18256-1103, 
IRAS18257-1000	 V* V441 Sct, GLMP 783, IRAS 18257-1000, MSX6C G021.4566+00.4911, OH 21.46 +0.49, OH 21.3 +0.4, OH 21.5 +0.5, 
IRAS18258-0944	 IRAS 18258-0944, 
IRAS18258-1058	 IRAS 18258-1058, 
IRAS18260-1127	 IRAS 18260-1127, 
IRAS18262+0934	 IRAS 18262+0934, 2MASS J18283699+0936501, 
IRAS18262-0735	 MSX6C G023.6510+01.5062, GLMP 786, IRAS 18262-0735, 
IRAS18263+0615	 V* T Ser, BD+06 3805A, BD+06 3805a, Cl* NGC 6633 VKP 206, Cl* NGC 6633 SAN 497, EIC 664, GCRV 10945, GSC 00450-01286, IRAS 18263+0615, IRC +10358, 2MASS J18284873+0617526, RAFGL 5242S, D75 75, KW97 34-38, AAVSO 1823+06, 
IRAS18263-1158	 IRAS 18263-1158, 
IRAS18264+4916	 V* AL Dra, AN 436.1937, CSV 4155, HIC 90474, HIP 90474, IRAS 18264+4916, IRC +50280, 2MASS J18274054+4918331, RAFGL 5241S, SV* SVS 793, AAVSO 1825+49, 
IRAS18264-1052	 IRAS 18264-1052, 
IRAS18264-1218	 IRAS 18264-1218, 
IRAS18264-1700	 IRAS 18264-1700, 
IRAS18265+0028	 IRAS 18265+0028, 2MASS J18290669+0030312, EGE2007 Bolo 14, 
IRAS18267-0906	 IRAS 18267-0906, 
IRAS18267-1146	 IRAS 18267-1146, 
IRAS18268-1117	 WTM81 OH 020.4-00.3, GLMP 788, IRAS 18268-1117, MSX5C G020.4323-00.3441, MSX6C G020.4328-00.3439, OH 20.4 -0.3, 
IRAS18270+0326	 V* V2571 Oph, IRAS 18270+0326, 2MASS J18293457+0328116, Mis V0958, PCC93 270, 
IRAS18271-1148	 IRAS 18271-1148, 
IRAS18273+0113	 NAME Sh 2-68 FIR, GCNM 23, IRAS 18273+0113, NAME S68 FIR, NAME SH 2-68 FIRS 1, NAME SERPENS TRIPLE RADIO SOURCENAME SERPENS FIRS 1, NAME SER TRIPLE RADIO SOURCE, NAME SER FIRS 1, B96 Serpens 1, CED93 1, EC92 41, ETC2005 7, HWJ84 FIRS 1, K99d 4-41, K99d YSO 41, KOB2004 258a, SB86 S68 1, 
IRAS18273-0626	 IRAS 18273-0626, 
IRAS18273-0738	 V* V436 Sct, IRAS 18273-0738, OH 23.7 +1.2, 
IRAS18276-1431	IRAS 18276-1431, V445 Sct, 
IRAS18277-1137	 IRAS 18277-1137, 
IRAS18279-2314	 IRAS 18279-2314, 
IRAS18281-1533	 IRAS 18281-1533, 
IRAS18282-0951	 WHR97 18282-0951, GAL 021.87+00.01, IRAS 18282-0951, PMN J1831-0949, KC97c G021.9+00.0, L89b 21.871+00.008, WAM82 021.871+0.008, WBH98 18282-0951, 
IRAS18282-2458	 IRAS 18282-2458, 
IRAS18284-0839	 IRAS 18284-0839, 
IRAS18286-0959	 IRAS 18286-0959, MSX6C G021.7964-00.1273, 
IRAS18287-1157	 IRAS 18287-1157, 
IRAS18288-0222	IRAS 18288-0222, 
IRAS18290-0924	 GAL 022.357+00.066, GAL 022.36+00.06, GAL 022.36+00.07, IRAS 18290-0924, WBH98 18290-0924, WHR97 18290-0924, 
IRAS18296-0616	 IRAS 18296-0616, 2MASS J18322054-0614368, MSX5C G025.1993+01.3774, 
IRAS18298-2111	 2MASS J18324855-2109376, CGCS 6749, GLMP 793, IRAS 18298-2111, RAFGL 5501, 
IRAS18301-0900	 MHS2002 256, IRAS 18301-0900, 2MASS J18325308-0857523, MSX5C G022.8471+00.0017, 
IRAS18301-1759	 IRAS 18301-1759, 
IRAS18302-0653	 IRAS 18302-0653, 
IRAS18307-0752	 IRAS 18307-0752, 
IRAS18307-1159	 TVH89 316, IRAS 18307-1159, OH 20.3 -1.5, PCC93 276, 
IRAS18309-1318	 IRAS 18309-1318, 
IRAS18309-1758	 BD-18 4998, GSC 06271-01192, IRAS 18309-1758, PPM 719455, TYC 6271-1192-1, 
IRAS18311-0701	 V* V481 Sct, GAL 024.73+00.69, IRAS 18311-0701, 2MASS J18335528-0658386, MSX6C G024.7287+00.6911, 
IRAS18312-0746	 IRAS 18312-0746, 
IRAS18312-1209	 IRAS 18312-1209, 
IRAS18313+1603	 IRAS 18313+1603, 
IRAS18317-0757	 WWB83 G023.96+0.15, GAL 023.957+00.139, GAL 023.96+00.15, IRAS 18317-0757, RAFGL 2194, ABG85 43, GSL2002 85, KC97c G024.0+00.2, L89b 23.956+00.152, WBH98 18317-0757, WC89 023.96+0.15, WHR97 18317-0757, 
IRAS18319-0834	 WHR97 18319-0834, GAL 023.43-00.21, GAL 023.44-00.18, IRAS 18319-0834, RAFGL 2195, WBH98 18319-0834, 
IRAS18323+1511	IRAS 18323+1511, V997 Her, 
IRAS18323+4919	 IRAS 18323+4919, 
IRAS18327-0715	 OH 24.69 +0.24, IRAS 18327-0715, OH 24.7 -0.2, 
IRAS18331-0035	IRAS 18331-0035, 
IRAS18340-0839	 IRAS 18340-0839, 2MASS J18364758-0836451, MSX5C G023.6045-00.6931, 
IRAS18344-0632	 SNR G025.5+00.2, GAL 025.52+00.22, GAL 025.5+00.2, GPSR5 25.520+0.216, GRS 025.50 +00.20, GRS 025.52 +00.22, IRAS 18344-0632, 2MASS J18370520-0629379, MSX6C G025.5196+00.2156, PMN J1837-0629, WhBe 1, ADP79 025.520-0.215, WAM82 025.520+0.215, 
IRAS18347+1113	 V* V640 Oph, AN 260.1936, IRAS 18347+1113, 2MASS J18370861+1116157, 
IRAS18347+2600	 V* RZ Her, AN 10.1900, BD+25 3582a, GCRV 11076, HD 172008, IRAS 18347+2600, GS83 169, AAVSO 1832+25, 
IRAS18348+2801	 IRAS 18348+2801, 
