012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS00001+4826	 V* IW Cas, AN 430.1928, CSI+48-00002, CSS 1347, GCRV 74888, GSC 03250-00161, IRAS 00001+4826, 2MASS J00024423+4842509, S1* 741, SV* P 2425, Vy 7, AAVSO 2357+48, 
IRAS00007+5524	 V* Y Cas, CSI+55-00007, GCRV 7, GCRV 74893, HD 225082, IRAS 00007+5524, IRC +60001, RAFGL 5, SV* HV 128, KW97 1-16, PCC93 1, 
IRAS00012+6626	IRAS 00012+6626, V398, IRC +70002, 
IRAS00017+3949	 V* SV And, AG+39 3, AN 1.1907, CSI+39-00017, DO 22669, GCRV 74917, GCRV 16, HD 225192, HIC 344, HIP 344, IRAS 00017+3949, IRC +40001, 2MASS J00042008+4006356, PPM 42530, RAFGL 8, AAVSO 2359+39, 
IRAS00020+4316	IRAS 00020+4316, SU And, IRC +40003
IRAS00040+6645	IRAS 00040+6645, 
IRAS00042+4248	 V* KU And, CIT 1, IRAS 00042+4248, IRC +40004, JP11 5537, RAFGL 14, LFO93 0004+42, 
IRAS00050-2546	 V* SY Scl, AN 150.1932, BPS CS 29503-0023, IRAS 00050-2546, IRC -30002, RAFGL 17, SV* HV 6425, M51 1, PCC93 2, AAVSO 0002-26, 
IRAS00063+2332	IRAS 00063+2332, NGC 9, 
IRAS00069+5117	 V* SS Cas, AG+51 12, AN 64.1905, CSI+51-00069, DO 22814, GCRV 77, HD 499, HIC 781, HIP 781, IRAS 00069+5117, 2MASS J00093654+5134010, PPM 25060, SV* HV 1166, AAVSO 0004+51, 
IRAS00087+5833	 V* V633 Cas, CSI+58-00088, EM* LkHA 198, FMC 1, GEN# +6.20038198, GN 00.08.8, HBC 3, HBHA 5707-01, IRAS 00087+5833, JP11 5294, NSV 72, PP 2, SV* SON 10136, KW97 1-52, 
IRAS00104+7335	 V* RV Cep, AN 32.1906, IRAS 00104+7335, AAVSO 0007+73, 
IRAS00115+2844	 V* UW And, AN 135.1910, GSC 01736-01805, IRAS 00115+2844, 2MASS J00141091+2901203, UCAC2 41997428, AAVSO 0009+28, 
IRAS00117+6412	 LEDA 2796303, GAL 118.96+01.89, GAL 118.96+01.88, IRAS 00117+6412, IRCO 2053, Mol 2, WB89 325, ZOAG G118.97+01.89, HLB98 Onsala 1, PCC93 3, 
IRAS00128-3219	 V* S Scl, CD-32 69, CPC 17 94, CPD-32 31, GC 296, GCRV 132, HD 1115, HIC 1236, HIP 1236, IRAS 00128-3219, IRC -30006, 2MASS J00152227-3202428, PPM 275844, RAFGL 40, SAO 192424, SKY# 459, SV* HV 28, MBT64 37, TTC90 1, AAVSO 0010-32, 
IRAS00135+4644	 V* X And, AN 3.1900, BD+46 41a, CSS 6, GCRV 134, GSC 03251-00993, HD 1167, IRAS 00135+4644, IRC +50003, 2MASS J00160960+4700444, S1* 5, AAVSO 0010+46, 
IRAS00148+7547	 V* CZ Cep, AN 626.1936, IRAS 00148+7547, SV* P 2442, 
IRAS00150+4452	 V* BB And, CSI+44-00151, CSS 7, GSC 03247-01695, IRAS 00150+4452, 2MASS J00174396+4508520, S1* 6, SV* ZI 6, SV* R 1, Vy 1, AAVSO 0012+44, 
IRAS00170+6542	 IRAS 00170+6542, IRAS 0017+657P09, IRCO 2161, 
IRAS00172+4425	IRAS 00172+4425, VX And, 
IRAS00186+5857	 V* FQ Cas, AN 600.1936, GSC 03665-00330, IRAS 00186+5857, 2MASS J00212557+5913550, MSX6C G119.0949-03.4160, I81 M 136, AAVSO 0016+58, 
IRAS00197+2643	 V* T And, AG+26 36, BD+26 43, GC 444, GCRV 203, GSC 01734-01431, HD 1795, IRAS 00197+2643, IRC +30009, 2MASS J00222314+2659458, PPM 89688, SAO 73930, SKY# 640, TYC 1734-1431-1, AAVSO 0017+26, 
IRAS00205+5530	 V* T Cas, AG+55 34, BD+54 48, DO 23208, GC 458, GCRV 210, GEN# +1.00001845, GSC 03657-00918, HD 1845, HIC 1834, HIP 1834, IRAS 00205+5530, IRC +60009, JP11 375, 2MASS J00231427+5547332, PLX 63, PMC 90-93 4648, PPM 25274, RAFGL 57, SAO 21343, SKY# 658, TYC 3657-918-1, YZ 55 139, YZ 0 230, KW97 2-24, LFO93 0020+55, AAVSO 0017+55, 
IRAS00211+6549	 WB89 334, CPM 1, IRAS 00211+6549, IRCO 2207, 
IRAS00213+3817	 V* R And, BD+37 58, CCDM J00241+3834A, CSI+37 58 1, CSS 9, DIRBE D00240197P3834373, DO 8349, GC 472, GCRV 214, GEN# +1.00001967, GSC 02783-02031, HD 1967, HIC 1901, HIP 1901, HR 90, IDS 00187+3802 A, IRAS 00213+3817, IRC +40009, JP11 377, 2MASS J00240197+3834373, RAFGL 59, S1* 8, SAO 53860, SKY# 676, UBV M 7344, C97 2, LFO93 0021+38, AAVSO 0018+38, 
IRAS00215-0936	 V* S Cet, BD-10 65, GC 474, GCRV 216, GEN# +1.00001987, HD 1987, IRAS 00215-0936, IRC -10007, 2MASS J00240357-0919410, PPM 182211, SAO 128740, SKY# 677, AAVSO 0019-09, 
IRAS00245+3037	 V* YZ And, AN 214.1928, IRAS 00245+3037, 2MASS J00271424+3053484, SA 44-295, SV* R 179, UCAC2 42520648, 
IRAS00245-0652	IRAS 00245-0652, UY Cet, 
IRAS00259+5625	 IRAS 00259+5625, 
IRAS00260+5624	 IRAS00260+5624, LBN594,
IRAS00294+1419	IRAS 00294+1419, T Psc, IRC +10005, 
IRAS00297+2545	 V* TU And, AN 2.1909, CSI+25-00297, DO 8407, HD 2890, HIC 2546, HIP 2546, IRAS 00297+2545, IRC +30012, 2MASS J00322275+2601459, RAFGL 82, AAVSO 0027+25A, 
IRAS00331+5738	 V* UW Cas, AN 7.1914, DO 23535, IRAS 00331+5738, 2MASS J00360130+5754427, I81 M 333, AAVSO 0030+57, 
IRAS00338+6312	 YIN2000 B033353.1+631231.5, GAL 121.30+00.66, GM 1-33, HHL 3, IRAS 00338+6312, IRCO 2333, PP 6, WB89 349, G82b 2, TRC83 2, 
IRAS00340+6251	 V* TY Cas, AN 2.1913, IRAS 00340+6251, IRC +60012, 2MASS J00365942+6308016, RAFGL 6060S, I81 M 381, PCC93 6, AAVSO 0031+62, 
IRAS00342+6347	 IRAS 00342+6347, GAL 121.37+01.24, IRCO 2343, WB89 351, PCC93 7, RRG2002 HH 288 VLA 2, ZPT98 121.37+01.24, 
IRAS00347+8004	 V* Y Cep, AN 9.1900, BD+79 14a, GCRV 344, HD 3344, IRAS 00347+8004, AAVSO 0031+79, 
IRAS00361+6515	 IRAS 00361+6515, IRCO 2377, 
IRAS00379+6248	 IRAS 00379+6248, IRCO 2387, WB89 357, PCC93 8, ZPT98 121.74+00.23, 
IRAS00394-0955	IRAS 00394-0955, AI Cet,
IRAS00420+5530	 IRAS 00420+5530, Mol 3, 
IRAS00420+7533	 IRAS 00420+7533, 
IRAS00428+6854	 V* V524 Cas, IRAS 00428+6854, IRC +70012, 2MASS J00460012+6910533, RAFGL 107, SV* SVS 1892, PCC93 9, TVH89 2, 
IRAS00435+4758	 V* U Cas, AG+47 73, BD+47 194, CSI+47 194 1, CSS 12, GCRV 421, GSC 03266-00745, HD 4350, IRAS 00435+4758, IRC +50014, PPM 43300, RAFGL 4050S, S1* 11, SKY# 1200, C97 3, AAVSO 0040+47, 
IRAS00445+3224	 V* RW And, AN 189.1904, CIT 2, CSI+32-00445, CSS 14, GCRV 432, GSC 02280-00081, HD 4489, IRAS 00445+3224, IRC +30015, JP11 417, 2MASS J00471892+3241083, RAFGL 109, S1* 13, AAVSO 0041+32, 
IRAS00459+6749	 V* V865 Cas, IRAS 00459+6749, IRCO 2496, 2MASS J00490686+6805474, NSV 15174, 
IRAS00468+6508	IRAS 00468+6508, 
IRAS00468+6527	 WB89 362, CPM 3, IRAS 00468+6527, IRCO 2504, 45P 26, 
IRAS00473+3522	 V* V And, BD+34 123a, CSI+34 123 2, DO 8525, GCRV 466, HD 4779, IRAS 00473+3522, 2MASS J00500630+3539098, AAVSO 0044+35, 
